https://www.msn.com/en-us/news/politics/harris-economic-adviser-calls-for-clean-energy-marshall-plan/ar-AA1pg235,"Harris Economic Adviser Calls For ‘Clean Energy Marshall Plan’","Atop economic adviser to Vice President Kamala Harris’ campaign for the White House has called for the United States to establish a new federal program to loan foreign countries billions of dollars so they can buy American-made green energy technologies."

https://www.msn.com/en-us/money/companies/dte-energy-s-smart-grid-technology-prevented-nearly-5000-customer-power-interruptions-and-18-million-outage-minutes-for-customers-so-far-in-2024/ar-AA1pgmEj,"DTE Energy’s smart grid technology prevented nearly 5,000 customer power interruptions and 1.8 million outage minutes for customers so far in 2024","DTE Energy (NYSE:DTE) today announced a significant milestone in its commitment to improving energy reliability for its customers. Through the implementation of smart grid technology, DTE has prevented nearly 5,000 power interruptions and more than 1.8 million minutes without power for customers so far in 2024."

https://www.yahoo.com/lifestyle/cache-energys-mysterious-white-pellets-153000932.html,"Cache Energy's mysterious white pellets could help kill coal and natural gas","Wind and solar power have become so cheap to install, and at times so abundant, that utilities don’t know what to do with it all. Sometimes they’ll even pay the owners of other power plants not to generate electricity. In response, scientists and engineers have been racing to find inexpensive ways to store that power for later, ultimately hoping to store renewable energy so that it’s available 24/7 and at a price that’ll put coal and natural gas out of business."

https://www.reuters.com/business/energy/chinas-plunging-coal-plant-approvals-signal-energy-policy-pivot-report-says-2024-08-22/,"China's plunging coal plant approvals signal energy policy pivot, report says"," A sharp drop in new coal plant permits in China suggests the world's largest builder of the polluting power plants is pivoting its energy policy towards more renewable development, although coal will keep playing a major role, a report said on Thursday."

https://www.msn.com/en-us/news/other/greek-flagged-oil-tanker-poses-environmental-hazard-after-attack-in-red-sea/ar-AA1pg4oe,"Greek-flagged oil tanker poses ‘environmental hazard’ after attack in Red Sea","A Greek-flagged oil tanker carrying 150,000 tons of crude oil poses an “environmental hazard” after it came under attack from projectiles and arms fire in the Red Sea. The 25-person crew of the Sounion oil tanker was rescued after the attack by a vessel from Eunavfor Aspides, a European Union defensive maritime security operation aimed at protecting merchant and commercial vessels in the Red Sea, the Indian Ocean and the Gulf."

https://www.reuters.com/markets/commodities/india-surpasses-china-become-russias-top-oil-buyer-july-2024-08-22/,"India surpasses China to become Russia's top oil buyer in July"," India overtook China as the world's biggest importer of Russian oil in July as Chinese refiners bought less because of lower profit margins from producing fuels, a comparison of import data showed."

https://markets.businessinsider.com/news/stocks/environmentalists-sue-uk-for-oil-and-gas-licenses-1033713473,"Environmentalists Sue UK for Oil and Gas Licenses","An ocean conservation entity is suing the UK state for 31 oil and gas exploration licenses issued by the previous government earlier this year."

https://www.usnews.com/news/world/articles/2024-08-22/egypt-plans-to-return-oil-gas-production-to-normal-from-2025-pm-says,"Egypt Plans to Return Oil, Gas Production to Normal From 2025, PM Says","Egypt plans to return oil and gas production to normal levels from 2025 with the help of international partners, Prime Minister Mostafa Madbouly said in a press conference on Thursday."

https://finance.yahoo.com/news/senegal-sets-oil-gas-commission-123720936.html?fr=sycsrp_catchall,"Senegal will check on oil and gas contracts via new commission","Senegal has reportedly set up a commission to investigate various oil and gas contracts the country has signed with multinational corporations."

https://www.msn.com/en-nz/news/other/electricity-generators-hope-emergency-hydro-storage-won-t-be-needed/ar-AA1pggvy,"Electricity generators hope emergency hydro storage won't be needed","Some of the country's biggest electricity generators say they hope not to use more water from South Island hydro lakes - despite a move allowing them to access contingent storage."

https://www.msn.com/en-us/money/companies/plans-submitted-for-large-solar-farm/ar-AA1pgdwZ,"Plans submitted for large solar farm","Plans have been put forward for a new solar farm, estimated to power tens of thousands of homes and create hundreds of jobs. Proposals for 193 acres (78 hectares) of agricultural land at High Barns Farm, either side of Coal Lane near Elwick village, have been lodged with Hartlepool Borough Council."
